X	Y
0	65535
1	65296.25
2	65293.84
3	65455.254
4	65453.637
5	64111.391
6	63440.164
7	64725.223
8	65289.551
9	64977.871
10	64496.242
11	64889.438
12	63991.84
13	63356
14	64870.25
15	65535
16	63989.902
17	62027.566
18	62845.586
19	62955.137
20	63053.789
21	64688.566
22	64483.371
23	64277.508
24	64918.844
25	65444.891
26	64940.184
27	64083.332
28	63601.453
29	62536.328
30	62641.465
31	63727.695
32	63135.457
33	61319.941
34	61858.566
35	63292.449
36	63252.863
37	64147.457
38	63457.359
39	63613.086
40	64209.344
41	64657.098
42	65437.484
43	63802.055
44	62825.363
45	64343.027
46	63977.59
47	62988.074
48	63428.797
49	64841.738
50	65232.324
51	65257.414
52	65096.398
53	64609.727
54	62727.301
55	60635.734
56	60792.211
57	62813.695
58	62815.34
59	63308.043
60	63799.379
61	61438.777
62	62089.324
63	63484.938
64	62149.098
65	64597.023
66	64683.676
67	64436.023
68	65052.879
69	64758.273
70	64664.949
71	64670.637
72	64219.312
73	65123.32
74	65038.816
75	64205.664
76	64175.773
77	65041.395
78	63518.457
79	61973.043
80	63434.238
81	64256.504
82	64735.359
83	64131.883
84	64804.586
85	65535
86	65031.203
87	64749.738
88	65438.523
89	64766.59
90	64106.438
91	64738.324
92	65338.539
93	65413.508
94	65234.594
95	65046.215
96	64811.312
97	62482.684
98	59988.605
99	60286.578
100	61519.98
101	59154.699
102	58107.461
103	58753.996
104	58967.566
105	59078.977
106	58549.238
107	57443.777
108	58487.805
109	57179.324
110	57703.41
111	59260.91
112	58714.418
113	58920.219
114	59566.602
115	61096.812
116	61008.512
117	59417.367
118	60282.473
119	59500.41
120	59118.941
121	58070.812
122	58831.363
123	60292.512
124	61144.758
125	61489.973
126	60605.141
127	61545.863
128	60444
129	59504.344
130	61196.961
131	62283.973
132	61362.957
133	60124.465
134	60294.758
135	62475.438
136	64656.086
137	64029.25
138	65535
139	63640.512
140	61001.32
141	63740.188
142	63471.113
143	63370.918
144	64400.297
145	64369.668
146	65328.539
147	65086.707
148	64855.859
149	64043.875
150	65262.184
151	64520.406
152	64350.742
153	64924.18
154	65535
155	64906.809
156	62737.574
157	61205.594
158	62689.109
159	65378.578
160	65535
161	65269.09
162	64478.301
163	64188.395
164	63153.477
165	60683.793
166	61668.105
167	59849.652
168	57756.633
169	60026.613
170	64755.789
171	64885.062
172	63314.52
173	60684.609
174	60823.988
175	59861.527
176	58687.094
177	59741.32
178	59150.047
179	59403.215
180	59250.344
181	59748.152
182	58772.668
183	59859.234
184	59150
185	58752
186	58280.496
187	61105.91
188	62772.504
189	61054.93
190	60418.199
191	61187.996
192	59265.855
193	57151.68
194	59957.281
195	59232.32
196	58406.898
197	60333.66
198	61855.824
199	61176.434
200	64095.652
201	65182.004
202	63340.816
203	60150.434
204	59084.836
205	64138.027
206	64414.84
207	62572.559
208	63168.105
209	63234.191
210	63203.02
211	63641.336
212	61753.785
213	62399.672
214	61254.359
215	62311.062
216	63246.441
217	63812.863
218	63442.211
219	62138.254
220	61874.582
221	60767.402
222	58441.832
223	58264.879
224	58079.613
225	60452.305
226	60883.719
227	60130.848
228	60753.992
229	60613.527
230	58646.695
231	58535.895
232	58257.285
233	60052.188
234	59831.711
235	61913.211
236	59590.234
237	57436.504
238	58714.488
239	60403.098
240	60977.215
241	60214.484
242	61972.949
243	61461.508
244	58686.766
245	61211
246	59546.395
247	58528.445
248	61036.383
249	62196.77
250	59593.406
251	61255.684
252	58650.102
253	58026.984
254	58309.898
255	58751.52
256	59126.328
257	60354.91
258	60214.551
259	60255.926
260	60300.203
261	61532.879
262	62496.352
263	63068.453
264	64828.656
265	65286.855
266	64773.512
267	62003.066
268	63712.953
269	65086.824
270	65227.605
271	63831.09
272	64531.773
273	62581.598
274	65148.25
275	62744.824
276	61800.836
277	65412.48
278	64561.062
279	63416.566
280	61909.867
281	61008.707
282	63518.277
283	63097.742
284	60109.797
285	62212.102
286	59043.801
287	60296.812
288	62185.766
289	60995.621
290	58072.398
291	59157.77
292	58005.484
293	56650.121
294	57928.902
295	59399.922
296	59414.691
297	60813.137
298	61165.16
299	61298.082
300	61576.602
301	58697.336
302	60753.723
303	56801.012
304	59943.789
305	60121.832
306	58640.445
307	56044.938
308	55355.836
309	55851.625
310	55253.285
311	52662.883
312	54490.621
313	55054.527
314	54770.586
315	52719.027
316	55538.91
317	53718.473
318	53601.887
319	53702.602
320	52338.719
321	55184.801
322	55735.008
323	54583.441
324	54334.461
325	54192.117
326	53934.164
327	54680.441
328	53705.188
329	55651.414
330	55152.113
331	56131.887
332	53728.656
333	55119.176
334	54029.609
335	54355.223
336	56196.16
337	53771.184
338	54858.891
339	51903.156
340	52008.246
341	53131.816
342	53490.055
343	53355.012
344	51667.262
345	53726.379
346	53039.059
347	55064.695
348	53222.762
349	54846.023
350	52924.23
351	54912.32
352	52613.129
353	52844.301
354	52958.504
355	54841.215
356	52586.18
357	53128.617
358	53155.219
359	53053.09
360	52190.582
361	52296.312
362	53367.371
363	53205.871
364	53737.566
365	53396.207
366	52528.734
367	52870.965
368	53480.809
369	52306.848
370	53762.863
371	52244.559
372	53754.586
373	54043.812
374	52845.34
375	53756.164
376	53746.484
377	52221.691
378	54051.719
379	51912.672
380	53140.93
381	52528.305
382	52479.551
383	52842.379
384	54076.621
385	54053.207
386	53113.844
387	52804.996
388	52801.832
389	52500.688
390	53448.867
391	53134.18
392	52498.977
393	52810.586
394	53121.02
395	52177.004
396	52492.602
397	53127
